City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,salalah,17.0151,54.0924,25.05,57,0,1.54,OM,1675789556
1,phalombe,-15.8064,35.6507,20.27,93,100,0.71,MW,1675789817
2,ouallam,14.3188,2.0866,34.72,8,97,4.59,NE,1675789817
3,luanda,-8.8368,13.2343,29.0,65,40,6.69,AO,1675789561
4,georgetown,5.4112,100.3354,23.98,86,98,3.56,MY,1675789630
5,atuona,-9.8,-139.0333,25.87,74,6,7.39,PF,1675789389
6,te anau,-45.4167,167.7167,9.32,82,92,2.56,NZ,1675789564
7,kapaa,22.0752,-159.319,24.18,92,100,5.14,US,1675789494
8,new norfolk,-42.7826,147.0587,13.72,90,42,1.09,AU,1675789497
9,nikolskoye,59.7035,30.7861,-2.06,92,89,4.0,RU,1675789637
10,cape town,-33.9258,18.4232,22.28,77,20,9.26,ZA,1675789228
11,belmonte,-15.8631,-38.8828,29.34,62,21,5.86,BR,1675789819
12,yellowknife,62.456,-114.3525,-18.71,78,100,3.09,CA,1675789201
13,khatanga,71.9667,102.5,-43.62,100,70,0.79,RU,1675789541
14,tena,-0.9833,-77.8167,25.09,78,81,0.39,EC,1675789819
15,boguchany,58.3814,97.4531,-16.82,99,100,1.24,RU,1675789820
16,butaritari,3.0707,172.7902,27.3,80,100,10.18,KI,1675789390
17,hilo,19.7297,-155.09,22.93,91,2,0.89,US,1675789352
18,mataura,-46.1927,168.8643,10.27,66,79,2.86,NZ,1675789498
19,pokosnoye,55.5258,101.0536,-20.22,100,98,1.02,RU,1675789821
20,ryotsu,38.0833,138.4333,5.77,72,100,4.22,JP,1675789821
21,acapulco,16.8634,-99.8901,29.9,48,0,2.06,MX,1675789787
22,kachiry,53.0675,76.1036,-18.23,99,84,2.32,KZ,1675789822
23,caravelas,-17.7125,-39.2481,30.83,53,52,5.71,BR,1675789472
24,kaitangata,-46.2817,169.8464,12.09,59,19,3.97,NZ,1675789474
25,nushki,29.5542,66.0215,16.46,22,100,1.76,PK,1675789823
26,dikson,73.5069,80.5464,-28.1,95,81,6.91,RU,1675789426
27,mahebourg,-20.4081,57.7,27.16,74,40,5.66,MU,1675789324
28,pitimbu,-7.4706,-34.8086,31.33,60,100,6.88,BR,1675789823
